Average Time,Activation,Underlying Relationship,Observations,Dimensions,Depth
0.010463953018188477,ELU,lin,500,2,1
0.01363229751586914,PReLU,lin,500,2,1
0.018821001052856445,SELU,lin,500,2,1
0.011465072631835938,ALReLU,lin,500,2,1
0.015499114990234375,ReLU,lin,500,2,3
0.015035867691040039,Leaky_ReLU,lin,500,2,3
0.01641392707824707,ELU,lin,500,2,3
0.019451618194580078,PReLU,lin,500,2,3
0.015429019927978516,SELU,lin,500,2,3
0.01886606216430664,ALReLU,lin,500,2,3
0.03854703903198242,ReLU,lin,500,2,10
0.03251457214355469,Leaky_ReLU,lin,500,2,10
0.033728599548339844,ELU,lin,500,2,10
0.08593225479125977,PReLU,lin,500,2,10
0.03723788261413574,SELU,lin,500,2,10
0.06591343879699707,ALReLU,lin,500,2,10
0.1423485279083252,ReLU,lin,500,2,30
0.08774566650390625,Leaky_ReLU,lin,500,2,30
0.08973574638366699,ELU,lin,500,2,30
0.11412668228149414,PReLU,lin,500,2,30
0.08721280097961426,SELU,lin,500,2,30
0.12966084480285645,ALReLU,lin,500,2,30
0.011788606643676758,ReLU,sin,500,2,1
0.010421514511108398,Leaky_ReLU,sin,500,2,1
0.012543201446533203,ELU,sin,500,2,1
0.014204978942871094,PReLU,sin,500,2,1
0.010771036148071289,SELU,sin,500,2,1
0.012371301651000977,ALReLU,sin,500,2,1
0.015740394592285156,ReLU,sin,500,2,3
0.01637554168701172,Leaky_ReLU,sin,500,2,3
0.023302555084228516,ELU,sin,500,2,3
0.02231454849243164,PReLU,sin,500,2,3
0.012650489807128906,SELU,sin,500,2,3
0.02270197868347168,ALReLU,sin,500,2,3
0.03072047233581543,ReLU,sin,500,2,10
0.03948616981506348,Leaky_ReLU,sin,500,2,10
0.030378341674804688,ELU,sin,500,2,10
0.0704960823059082,PReLU,sin,500,2,10
0.033187150955200195,SELU,sin,500,2,10
0.061228036880493164,ALReLU,sin,500,2,10
0.08860397338867188,ReLU,sin,500,2,30
